A,B,C,D,E
153555537|Cardiff University Brain Research Imaging Centre|02100167|317848|177787|1|10090719619|osgb5000005181005650|3|5801314|1|44.1|Maindy Park Campus|Maindy Road|Cathays, Cardiff|South Glamorgan|CF24 4HQ|Caerdydd - Cardiff|02920874000|||||Wilmington Healthcare Ltd|2024-12-01,,,
103930877|MS Society Cymru|02100167|317421|176631|1|100100892388|osgb1000027175037|8|5800332|1|27.3|13|Cathedral Road|Pontcanna, Cardiff|South Glamorgan|CF11 9HA|Caerdydd - Cardiff|02920786676|||||Wilmington Healthcare Ltd|2024-12-01,,,
103917809|Welsh Heart Research Institute|02100167|317374|179443|1|10095458348|osgb1000027184603|5|5803800|3|17.2|Heath Park||Cardiff|South Glamorgan|CF14 4XN|Caerdydd - Cardiff|02920743738|||||Wilmington Healthcare Ltd|2024-12-01,,,,
103915999|School of Optometry & Vision Sciences|02100167|317539.2|178025.5|1||osgb1000002706023696|4|5804056|3|19.4|||Cardiff|South Glamorgan|CF24|Caerdydd - Cardiff|02920874374|||||Wilmington Healthcare Ltd|2024-12-01,,,,
103931596|The National Autistic Society Cymru|02100167|314169.8|181850.8|1|10013081208|osgb1000002487107646|6|5804223|1|20.4|Ground Floor Unit 7 Greenmeadow Springs Business Park|Village Way|Tongwynlais, Cardiff|South Glamorgan|CF15 7NE|Caerdydd - Cardiff|02920629312|||||Wilmington Healthcare Ltd|2024-12-01,,,
103922730|Welsh NHS Confederation|02100167|317499.3|176598.6|1|100100889950|osgb1000027175069|8|5800332|1|19.5|Phoenix House 8|Cathedral Road|Pontcanna, Cardiff|South Glamorgan|CF11 9LJ|Caerdydd - Cardiff|02920349850|||||Wilmington Healthcare Ltd|2024-12-01,,,
103925278|Arthritis Care Wales|02100167|319668|174885|1|10023546618|osgb1000043008139|8|5803952|1|202.1|Caspian Point|Caspian Way|Butetown, Cardiff|South Glamorgan|CF10 4DQ|Caerdydd - Cardiff|02920444155|||||Wilmington Healthcare Ltd|2024-12-01,,,
103914427|BPAS Cardiff Consultation Centre|02100167|318206.3|176226.6|1||osgb1000027218926|8|5802562|3|14.2|106-107|St. Mary Street|Cardiff|South Glamorgan|CF10 1DX|Caerdydd - Cardiff|02920345030|||||Wilmington Healthcare Ltd|2024-12-01,,,,
103918532|School of Pharmacy & Pharmaceutical Sciences|02100167|317873|177213|1|200001836659|osgb1000027178409|5|5801129|1|54.8|Cardiff University Redwood Building|King Edward Vii Avenue|Cathays, Cardiff|South Glamorgan|CF10 3NB|Caerdydd - Cardiff|02920874151|||||Wilmington Healthcare Ltd|2024-12-01,,,
127000298|Cardiff Office|02100167|316967|179482|1|100100034748|osgb1000027131111|3|5801809|1|23.2|1|St Agnes Road|Heath, Cardiff|South Glamorgan|CF14 4AN|Caerdydd - Cardiff|02920447710|||||Wilmington Healthcare Ltd|2024-12-01,,,
103931363|Cartrefi Cymru Ltd|02100167|318589|175113|1|10002526228|osgb1000027217056|6|5800555|1|12|Building 5|Curran Road|Butetown, Cardiff|South Glamorgan|CF10 5DF|Caerdydd - Cardiff|02920642250|||||Wilmington Healthcare Ltd|2024-12-01,,,
103916962|RCN - Wales|02100167|317861.6|179164.6|1|200002932855|osgb1000027183985|6|5801130|1|15.1||King George V Drive East|Heath, Cardiff|South Glamorgan|CF14 4XZ|Caerdydd - Cardiff|03457726100|||||Wilmington Healthcare Ltd|2024-12-01,,,
114604058|Institute of Cancer & Genetics|02100167|314816|180435|1|200001097044|osgb1000000276551697|13|5802052|1|65.9|Velindre Hospital|Velindre Road|Whitchurch, Cardiff|South Glamorgan|CF14 2TL|Caerdydd - Cardiff|02920316964|||||Wilmington Healthcare Ltd|2024-12-01,,,
103918567|Specialist Unit for Review Evidence (SURE)|02100167|317782|179459|1|10002517180|osgb1000027183803|5|5803802|3|13.3|1st Floor, Neuadd Meirionnydd|Heath Park|Cardiff|South Glamorgan|CF14|Caerdydd - Cardiff|02920687913|||||Wilmington Healthcare Ltd|2024-12-01,,,
103928269|RNIB Cymru|02100167|318094|176349|1|100100890167|osgb1000027219377|11|5803123|1|23.9|Jones Court|Womanby Street|Cathays, Cardiff|South Glamorgan|CF10 1UL|Caerdydd - Cardiff|02920828500|||||Wilmington Healthcare Ltd|2024-12-01,,,
103917116|Institute of Cancer & Genetics|02100167|317473|179522|1|10095458960|osgb1000027183762|7|5803802|3|16.3|Institiute of Medical Genetics Building|Heath Park|Cardiff|South Glamorgan|CF14 4XN|Caerdydd - Cardiff|02920744727|||||Wilmington Healthcare Ltd|2024-12-01,,,,
103908306|Department of Nephrology|02100167|317415.7|179311.3|1|10090718032|osgb1000027184059|8|5803802|1|200.6|School of Healthcare Studies|Heath Park Way|Heath, Cardiff|South Glamorgan|CF14 4XW|Caerdydd - Cardiff|02920748467|||||Wilmington Healthcare Ltd|2024-12-01,,,
103911968|Health Library|02100167|317763|179429|1|10023545437|osgb5000005103744080|3|5803802|2|46|Cochrane Building, Ground, 1st and 2nd Floor, Heath Park Way|Heath|Cardiff|South Glamorgan|CF14 4YU|Caerdydd - Cardiff|02920688137|||||Wilmington Healthcare Ltd|2024-12-01,
125911181|Wales Regional Office|02100167|317470.3|176653.9|1|100100891743|osgb1000027175063|7|5800332|1|26.3|14|Cathedral Road|Pontcanna, Cardiff|South Glamorgan|CF11 9LJ|Caerdydd - Cardiff|03450771894|||||Wilmington Healthcare Ltd|2024-12-01,,,
127483139|Stroke Association (The) Wales|02100167|314308|181861.1|1||osgb1000002712064015|3|5801012|2|34.6|Unit 8|Cae Gwyrdd|Tongwynlais, Cardiff|South Glamorgan|CF15 7AB|Caerdydd - Cardiff|02920524400|||||Wilmington Healthcare Ltd|2024-12-01,,,
103928388|RCGP Wales|02100167|321559|182928|1|10002509214|osgb1000027323705|4|5803892|1|33.5|Regus House|Malthouse Avenue|Pontprennau, Cardiff|South Glamorgan|CF23 8RU|Caerdydd - Cardiff|02031887755|||||Wilmington Healthcare Ltd|2024-12-01,,,
103926518|The Big Lottery Fund|02100167|318776.6|176454.9|1||osgb1000027218747|9|5801874|3|30.9|Helmont House|Churchill Way|Cardiff|South Glamorgan|CF10 2DY|Caerdydd - Cardiff|02920678200|||||Wilmington Healthcare Ltd|2024-12-01,,,,
103926519|Journeys|02100167|318936|177780|1||osgb1000027220505|3|5801620|3|10.6|Journeys Towards Recovery First and Second Floors 38|Albany Road|Roath, Cardiff|South Glamorgan|CF24 3RQ|Caerdydd - Cardiff|02920692891|||||Wilmington Healthcare Ltd|2024-12-01,,,
151367085|Royal College of Paediatrics & Child Health Wales|02100167|319563.1|174657.7|1|10002513238|osgb1000041298445|5|5804032|1|29.6|Regus House|Falcon Drive|Butetown, Cardiff|South Glamorgan|CF10 4RU|Caerdydd - Cardiff|02920504212|||||Wilmington Healthcare Ltd|2024-12-01,,,
125911193|Cardiff Metropolitan University|02100167|315952|178129|1|200002938685|osgb1000027128670|11|5802115|1|56.1|Cardiff Metropolitan University Llandaff Campus 200|Western Avenue|Llandaff, Cardiff|South Glamorgan|CF5 2YB|Caerdydd - Cardiff|02920416070|||||Wilmington Healthcare Ltd|2024-12-01,,,
125911200|Institute of Molecular & Experimental Medicine|02100167|317415.7|179311.3|1|10090718032|osgb1000027184059|8|5803802|1|200.6|School of Healthcare Studies|Heath Park Way|Heath, Cardiff|South Glamorgan|CF14 4XW|Caerdydd - Cardiff|02920745097|||||Wilmington Healthcare Ltd|2024-12-01,,,
125911201|University of Cardiff|02100167|318189.9|177334.8|1|10090719665|osgb1000027224130|6|5801538|1|52.1|59|Park Place|Cathays, Cardiff|South Glamorgan|CF10 3AT|Caerdydd - Cardiff|02920874000|||||Wilmington Healthcare Ltd|2024-12-01,,,
125911203|Student Recruitment & Web|02100167|318560|176972|1|100101054153|osgb1000027217998|3|5802853|1|20.3|Cardiff University Deri House 2-4|Park Grove|Cathays, Cardiff|South Glamorgan|CF10 3BN|Caerdydd - Cardiff|02920874455|||||Wilmington Healthcare Ltd|2024-12-01,,,
125911205|Research & Innovation Services|02100167|319134.8|176740.6|1|100101042885|osgb1000027253369|5|5804612|1|70.3|30-36|Newport Road|Adamsdown, Cardiff|South Glamorgan|CF24 0DE|Caerdydd - Cardiff|02920875834|||||Wilmington Healthcare Ltd|2024-12-01,,,
129196175|Chartered Society of Physiotherapy - Wales|02100167|317471|176539|1|100100892387|osgb1000027175101|8|5800332|1|37.2|Transport House,1, Cathedral Road|Pontcanna|Cardiff|South Glamorgan|CF11 9SD|Caerdydd - Cardiff|02920382429|||||Wilmington Healthcare Ltd|2024-12-01,,
103928114|Cymru Office|02100167|317675.8|176430.9|1|10002516214|osgb1000027175912|2|5804644|1|27|Castlebridge 2 5-19|Cowbridge Road East|Riverside, Cardiff|South Glamorgan|CF11 9AB|Caerdydd - Cardiff|02920668276|||||Wilmington Healthcare Ltd|2024-12-01,,,
103928164|ABPI Cymru Wales|02100167|319615.6|174837.8|1|10002520423|osgb1000043008141|8|5803952|1|131.6|Fifth Floor Caspian Point 2|Caspian Way|Butetown, Cardiff|South Glamorgan|CF10 4DQ|Caerdydd - Cardiff|02920454297|||||Wilmington Healthcare Ltd|2024-12-01,,,
103926417|Pentwyn Dialysis Unit|02100167|321207.6|181969.6|1||osgb1000027322572|6|5800536|2|36.9|Unit 1-4 The Avenue Industrial Estate|Croescadarn Close|Cardiff|South Glamorgan|CF23 8HE|Caerdydd - Cardiff|02920545650|||||Wilmington Healthcare Ltd|2024-12-01,,,,
108409306|ASH (Action on Smoking & Health) Wales|02100167|319164.4|176968|1|200002934123|osgb1000027253449|4|5800398|1|19.7|12|City Road|Roath, Cardiff|South Glamorgan|CF24 3DL|Caerdydd - Cardiff|02920490621|||||Wilmington Healthcare Ltd|2024-12-01,,,
108409307|BLF - Wales Office|02100167|319642.2|174851|1|10023546618|osgb1000043008139|8|5803952|1|160.2|Caspian Point|Caspian Way|Butetown, Cardiff|South Glamorgan|CF10 4DQ|Caerdydd - Cardiff|03000030555|||||Wilmington Healthcare Ltd|2024-12-01,,,
103922603|Institute of Primary Care & Public Health|02100167|317763|179425|1|10023545437|osgb5000005103744080|3|5803803|3|47.2|School of Medicine|Heath Park|Cardiff|South Glamorgan|CF14|Caerdydd - Cardiff|02920687242|||||Wilmington Healthcare Ltd|2024-12-01,,,,
103922619|Pharmaceutical Society Wales|02100167|321095|183041|1|10013746176|osgb1000002715016896|3|5803842|1|27.6|2 Ash Tree Court|Woodsy Close|Pontprennau, Cardiff|South Glamorgan|CF23 8RW|Caerdydd - Cardiff|02920730310|||||Wilmington Healthcare Ltd|2024-12-01,,,
108409369|The Wales Cancer Bank|02100167|317415.7|179311.3|1|10090718032|osgb1000027184059|8|5803802|1|200.6|School of Healthcare Studies|Heath Park Way|Heath, Cardiff|South Glamorgan|CF14 4XW|Caerdydd - Cardiff|02920743243|||||Wilmington Healthcare Ltd|2024-12-01,,,
103920561|Age Cymru|02100167|319463.1|175954.8|1|10002506606|osgb1000027251385|6|5800657|2|20.2|Mariners House, Trident Court|East Moors Road|Cardiff|South Glamorgan|CF24 5TD|Caerdydd - Cardiff|02920431555|||||Wilmington Healthcare Ltd|2024-12-01,,,
103909370|CBI - Wales|02100167|319615|174837|1||osgb1000043008141|8|5803390|3|23.9|2 Caspian Point|Caspian Way|Cardiff|South Glamorgan|CF10 4DQ|Caerdydd - Cardiff|02920977600|||||Wilmington Healthcare Ltd|2024-12-01,,,,
103928018|School of Healthcare Sciences|02100167|319144|176877|1|100101053611|osgb1000027253507|6|5804599|1|33.6|Eastgate House 35-43|Newport Road|Roath, Cardiff|South Glamorgan|CF24 0AB|Caerdydd - Cardiff|02920687689|||||Wilmington Healthcare Ltd|2024-12-01,,,
123204502|Prostate Cancer UK - Wales Office|02100167|319970.6|176254.4|1|10002506979|osgb1000027254098|9|5800658|1|50|The Maltings, East Tyndall Street|Splott|Cardiff|South Glamorgan|CF24 5EA|Caerdydd - Cardiff|02920351606|||||Wilmington Healthcare Ltd|2024-12-01,,,
110595757|Wales Research & Diagnostic PET Imaging Centre|02100167|317488|179398|1||osgb1000000277211420|46|5803800|3|101.7|Heath Park||Cardiff|South Glamorgan|CF14 4XN|Caerdydd - Cardiff|02920743070|||||Wilmington Healthcare Ltd|2024-12-01,,,,
161673560|Wales Gene Park|02100167|317518|179363|1||osgb1000000277211420|46|5803801|3|105.6|Institute of Medical Genetics, Cardiff University|Heath Park|Cardiff|South Glamorgan|CF14 4XN|Caerdydd - Cardiff|02920748174|||||Wilmington Healthcare Ltd|2024-12-01,,,
161673561|The All Wales Genomics Service|02100167|317518|179363|1|10014197743|osgb1000000277211420|46|5803802|1|133.4|University Hospital of Wales|Heath Park Way|Heath, Cardiff|South Glamorgan|CF14 4XW|Caerdydd - Cardiff|02920742577|||||Wilmington Healthcare Ltd|2024-12-01,,,
161673559|Health and Care Research Wales|02100167|317652|176437|1|10092988452|osgb1000027175909|5|5804644|1|30.9|Suite 1 Ground Floor Castlebridge 4 5-19|Cowbridge Road East|Riverside, Cardiff|South Glamorgan|CF11 9AB|Caerdydd - Cardiff|02920230457|||||Wilmington Healthcare Ltd|2024-12-01,,,
103906891|Welsh Medicines Information Centre|02100167|317518|179363|1||osgb1000000277211420|46|5803801|3|105.6||Heath Park|Cardiff|South Glamorgan|CF14 4XW|Caerdydd - Cardiff|02920742796|||||Wilmington Healthcare Ltd|2024-12-01,,,,
103927640|Cardiff Council|02100167|319301.2|175159.8|1|10002506530|osgb1000002487467255|3|5803443|1|779.6|County Hall, Atlantic Wharf|Butetown|Cardiff|South Glamorgan|CF10 4UW|Caerdydd - Cardiff|02920872087|||||Wilmington Healthcare Ltd|2024-12-01,,,
161673391|Centre for Trails Research|02100167|317788|179456|1|10002517180|osgb1000027183803|5|5803802|3|15.2|7th Floor, Neuadd Meirionnydd|Heath Park|Cardiff|South Glamorgan|CF14 4UJ|Caerdydd - Cardiff|02920687163|||||Wilmington Healthcare Ltd|2024-12-01,,,
133911218|Ocean Community Services|02100167|318708|176067|1|100101052976|osgb1000027218593|6|5800260|1|31.8|Harlech Court|Bute Terrace|Cathays, Cardiff|South Glamorgan|CF10 2FE|Caerdydd - Cardiff|02920394410|||||Wilmington Healthcare Ltd|2024-12-01,,,
125911169|RCGP - South West Wales Faculty|02100167|321559|182928|1|10002509214|osgb1000027323705|4|5803892|1|33.5|Regus House|Malthouse Avenue|Pontprennau, Cardiff|South Glamorgan|CF23 8RU|Caerdydd - Cardiff|02031887764|||||Wilmington Healthcare Ltd|2024-12-01,,,
125911213|Wales Deanery|02100167|317783|179460|1|10002517180|osgb1000027183803|5|5803802|3|12.1|1st, 8th & 9th Floors, Neuadd Merrionnydd|Heath Park|Cardiff|South Glamorgan|CF14|Caerdydd - Cardiff|02920688026|||||Wilmington Healthcare Ltd|2024-12-01,,
158419331|Life Sciences Hub Wales|02100167|319494.1|174502.9|1||osgb1000002706070058|6|5803300|3|32|Second Floor Assembly Square 3|Britannia Quay|Butetown, Cardiff|South Glamorgan|CF10 4PL|Caerdydd - Cardiff|02920467030|||||Wilmington Healthcare Ltd|2024-12-01,,,
103919123|Hafod Care Association Ltd|02100167|311793.5|174561.7|1|64016959|osgb1000026958394|7|41502146|1|60.4|St Hilary Court Valegate Business Park|Copthorne Way|Culverhouse Cross|South Glamorgan|CF5 6ES|Bro Morgannwg - the Vale of Glamorgan|02920672300|||||Wilmington Healthcare Ltd|2024-12-01,,,,
103914224|City Hospice|02100167|314350|180557|1|10008905576|osgb1000002712008873|3|5801540|1|400|Whitchurch Hospital|Park Road|Whitchurch, Cardiff|South Glamorgan|CF14 7BF|Caerdydd - Cardiff|02920524150|||||Wilmington Healthcare Ltd|2024-12-01,,,
20131427|Bethesda United Reformed Church|06340459|313361|182087|1|10023550298|osgb1000027018476|4|5801371|3|26.4||||South Glamorgan|CF15|Caerdydd - Cardiff||||Religion|United Reformed Church (Christian)|Ordnance Survey|2024-12-01,,,,
179344921|Huggard|02100167|318419.6|175612.7|1|10090716873|osgb5000005108032589|2|5801847|1|29.7|Huggard Buildings|Hansen Street|Butetown, Cardiff|South Glamorgan|CF10 5DW|Caerdydd - Cardiff|02920642000|||||Wilmington Healthcare Ltd|2024-12-01,,,
170460588|Cardiff & Vale Drug & Alcohol Service (CAVDAS)|02100167|319377|176916|1|100100895783|osgb1000027253415|17|5804612|1|44.9||Newport Road|Adamsdown, Cardiff|South Glamorgan|CF24 0SZ|Caerdydd - Cardiff|02920461742|||||Wilmington Healthcare Ltd|2024-12-01,,,
180811863|St John Ambulance Cymru|02100167|319804|175811|1|200001530995|osgb1000027251078|6|5803525|1|41.6|St John Cymru Wales Priory House|Beignon Close|Splott, Cardiff|South Glamorgan|CF24 5PB|Caerdydd - Cardiff|02920449600|||||Wilmington Healthcare Ltd|2024-12-01,,,
123204582|NHS Wales Shared Svs Partnership - Procurement Svs|02100167|317593|178556|1|10092985776|osgb1000027182520|25|5802430|1|82.5|Part First Floor Ropository Stores Companies House|Crown Way|Cathays, Cardiff|South Glamorgan|CF14 3UZ|Caerdydd - Cardiff|02920903869|||||Wilmington Healthcare Ltd|2024-12-01,,,
159451602|Procurement Services|02100167|317216|180809|1|10002527804|osgb1000027185944|6|5801310|1|48.6|Woodland House|Maes-y-Coed Road|Heath, Cardiff|South Glamorgan|CF14 4HH|Caerdydd - Cardiff|02920744248|||||Wilmington Healthcare Ltd|2024-12-01,,,
161673383|School of Medicine|02100167|317518|179363|1|10002529318|osgb1000000277211420|46|5803802|1|133.4|College of Medicine University Hospital of Wales|Heath Park Way|Heath, Cardiff|South Glamorgan|CF14 4XW|Caerdydd - Cardiff|02920874000|||||Wilmington Healthcare Ltd|2024-12-01,,,
129797444|North and West Cardiff Locality Offices|02100167|314645|180554|1|200002933054|osgb1000000276551859|57|5805704|3|55.6|Park Road|Whitchurch|Cardiff|South Glamorgan|CF14 7XB|Caerdydd - Cardiff|02920744474|||||Wilmington Healthcare Ltd|2024-12-01,,,,
167723300|Clwb Calon Cymru|02100167|317518|179363|1|10014197743|osgb1000000277211420|46|5803802|1|133.4|University Hospital of Wales|Heath Park Way|Heath, Cardiff|South Glamorgan|CF14 4XW|Caerdydd - Cardiff|02920747747|||||Wilmington Healthcare Ltd|2024-12-01,,,
103928291|Shaw Healthcare Ltd|02100167|324851.7|181821.4|1|10002516281|osgb1000027395441|6|5800755|1|183.1|Unit 1 Links Court|Fortran Road|Trowbridge, Cardiff|South Glamorgan|CF3 0LT|Caerdydd - Cardiff|02920364411|||||Wilmington Healthcare Ltd|2024-12-01,,,
20142012|Burnt Mound|03170240|313442|180053|2||Not Assigned|0|5801902|3|58.2||||South Glamorgan|CF15|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
20003693|Cardiff Civil and Family Justice Centre|06330409|318158|176127|1|10008904574|osgb1000027218900|6|5801541|1|18.5||Park Street|Cathays, Cardiff|South Glamorgan|CF10 1ET|Caerdydd - Cardiff|03308084424|||||The Court Service|2024-12-01,,,
20234036|King George V Memorial Piers|03170245|317537|180132|2||Not Assigned|0|5801131|3|28.3||||South Glamorgan|CF14|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
18857428|Cardiff Crown Court|06330409|318142|176838|1|200002931899|osgb1000027218419|7|5801129|1|60.6|Law Courts|King Edward Vii Avenue|Cathays, Cardiff|South Glamorgan|CF10 3NL|Caerdydd - Cardiff|03003321000|||||The Court Service|2024-12-01,,,
20250222|Grey Friars' Priory (Site Of)|03170244|318320|176645|1|100100890346|osgb1000027218344|5|5803023|3|28.6||||South Glamorgan|CF10|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
20250564|Site of Priory (Dominican)|03170244|317797|176698|1||osgb1000000277143037|2|5800327|3|243.3||||South Glamorgan|CF10|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
103918533|Community Pharmacy Wales|02100167|319615.6|174837.8|1|10002520423|osgb1000043008141|8|5803952|1|131.6|Fifth Floor Caspian Point 2|Caspian Way|Butetown, Cardiff|South Glamorgan|CF10 4DQ|Caerdydd - Cardiff|02920442070|||||Wilmington Healthcare Ltd|2024-12-01,,,
20250318|Priory|03170244|317057|176696|1|10002514657|osgb1000027174707|7|5801906|3|14.8||||South Glamorgan|CF11|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
20268110|St Fagan's Castle|03170244|311993|177146|1|10023549096|osgb1000026985484|11|5800325|3|74.9||||South Glamorgan|CF5|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
20161507|Old Leckwith Bridge|03170245|315914|175251|1|10013745636|osgb1000000276639796|9|5804623|3|13.6||||South Glamorgan|CF11|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
20269217|Fort|03170244|315195|182763|1|10013746281|osgb1000002712051916|4|5802097|3|214.6||||South Glamorgan|CF14|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
20268488|Caerau Fort|03170244|313383|174970|1|10090487052|osgb1000000276332188|8|5800385|3|88.3||||South Glamorgan|CF5|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
20267680|Motte and Bailey|03170244|312810|181870|1||osgb1000000276270916|9|5804657|3|66.3||||South Glamorgan|CF15|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
20912876|Lansdowne Community Unit|05280365|315681|176192|1|10094241449|osgb5000005336291272|1|5804019|3|23.9|Sanatorium Road||Cardiff|South Glamorgan|CF11|Caerdydd - Cardiff|02920747747|||||Wilmington Healthcare Ltd|2024-12-01,,,,
16440998|Community Nurses Office|05280365|312883|180694|1|200002933191|osgb1000026986895|7|5801539|2|36.2|Radyr Health Centre, Park Road|Radyr|Cardiff|South Glamorgan|CF15 8DF|Caerdydd - Cardiff|02920300261|||||Wilmington Healthcare Ltd|2024-12-01,,,
16441001|Health Visitors Office|05280365|321555|177430|1|10003566708|osgb1000002487443409|1|5804252|3|29.7|Four Elms Medical Centre|Ffordd Pengam|Cardiff|South Glamorgan|CF24 2HP|Caerdydd - Cardiff|02920489292|||||Wilmington Healthcare Ltd|2024-12-01,,,,
26352208|Community Nurses Office|05280365|315760|181587|1|100100125811|osgb1000027089416|3|5800852|1|18.4|25|Groes Lon|Rhiwbina, Cardiff|South Glamorgan|CF14 6JT|Caerdydd - Cardiff|02920522529|||||Wilmington Healthcare Ltd|2024-12-01,,,
157507740|Generic and Flying Start Health Visiting Service|05280365|317485|173226|1|10013081289|osgb1000042704043|8|5803897|1|68.6|Global Link|Dunleavy Drive|Grangetown, Cardiff|South Glamorgan|CF11 0SN|Caerdydd - Cardiff|02921832061|||||Wilmington Healthcare Ltd|2024-12-01,,,
41253117|Community Nurses Office|05280365|319389|178302|1|100100894978|osgb1000027263617|5|5801597|1|30.6|100|Pen-y-Lan Road|Penylan, Cardiff|South Glamorgan|CF23 5RH|Caerdydd - Cardiff|02920457084|||||Wilmington Healthcare Ltd|2024-12-01,,,
43728177|Health Visitors Office|05280365|312201|183534|1|10090595326|osgb1000026988709|5|47403795|1|89.8||Cardiff Road|Taff's Well|Mid Glamorgan|CF15 7PL|Rhondda Cynon Taf - Rhondda Cynon Taf|02920814035|||||Wilmington Healthcare Ltd|2024-12-01,,,,
43728182|Health Visitors Office|05280365|316901.7|176594.2|1|10090717471|osgb1000002487063292|5|5802187|1|57.5|27|Wyndham Crescent|Pontcanna, Cardiff|South Glamorgan|CF11 9EE|Caerdydd - Cardiff|02920395368|||||Wilmington Healthcare Ltd|2024-12-01,,,
43728207|Health Visitors Office|05280365|313476|175350|1|10002508899|osgb1000002487064159|3|5800385|1|12.3|25|Church Road|Caerau, Cardiff|South Glamorgan|CF5 5LQ|Caerdydd - Cardiff|02920679183|||||Wilmington Healthcare Ltd|2024-12-01,,,
20913328|Llanishen Clinic|05280365|317511|182105|1|200002932935|osgb1000027190851|4|5801450|1|25.5||Newborough Avenue|Llanishen, Cardiff|South Glamorgan|CF14 5DB|Caerdydd - Cardiff|02920754206|||||Wilmington Healthcare Ltd|2024-12-01,,,
103910111|Regency House Nursing Home|05280373|314268.2|176827.4|1|200002938824|osgb1000042503520|4|5801386|1|29||Mill Road|Ely, Cardiff|South Glamorgan|CF5 4AE|Caerdydd - Cardiff|02920566000|||||Wilmington Healthcare Ltd|2024-12-01,,,
16453100|Community Addictions Unit|05280365|319438|176958|1||osgb1000027253402|4|5801502|3|19.7|House 56|Newport Road|Cardiff|South Glamorgan|CF24 0AU|Caerdydd - Cardiff|02920461742|||||Wilmington Healthcare Ltd|2024-12-01,,,,
19243490|Roath Clinic|05280365|319468|177796|1|10002526710|osgb1000027257443|3|5801723|1|25.1||Roath Court Road|Roath, Cardiff|South Glamorgan|CF24 3SB|Caerdydd - Cardiff|02920461177|||||Wilmington Healthcare Ltd|2024-12-01,,,
20913327|Health Visitors Office|05280365|320188|179998|1||osgb5000005337896982|2|5803372|2|42.4||Maelfa|Pentwyn, Cardiff|South Glamorgan|CF23 9PN|Caerdydd - Cardiff|02920731671|||||Wilmington Healthcare Ltd|2024-12-01,,,
